Family,Scientific_Name,Alt_name,Alt_name2,Common_Name,IMI ,Body_Size_Mean,cube_root_BM,locomotor_type,Body_Size_(g)_Male,Body_Size_(g)_Female
Callitrichidae,Callithrix jacchus,Callithrix_jacchus,Callithrix_jacchus,Common marmoset,76,320.5,6.843464383,,317,324
Callitrichidae,Callithrix penicillata,Callithrix_penicillata,Callithrix_penicillata,Black-tufted marmoset,76,325.5,6.878868346,,344,307
Callitrichidae,Callithrix aurita,Callithrix_aurita,Callithrix_aurita,Buffy-tufted marmoset,74,429,7.541986732,,429,429
Callitrichidae,Mico argentatus,Mico_argentatus,Mico_argentatus,Silvery marmoset,76,346.5,7.023728995,,333,360
Callitrichidae,Cebuella pygmaea,Cebuella_pygmaea,Cebuella_pygmaea,Pygmy marmoset,69,116,4.876998961,Q/L,110,122
Callitrichidae,Leontopithecus rosalia,Leontopithecus_rosalia,Leontopithecus_rosalia,Golden lion tamarin,89,609,8.476289168,L,620,598
Callitrichidae,Saguinus midas,Saguinus_midas,Saguinus_midas,Red-handed tamarin,77,545,8.16830917,Q,515,575
Callitrichidae,Saguinus nigricollis,Leontocebus_nigricollis,Saguinus_nigricollis,Black-mantled tamarin,78,476,7.807925322,,468,484
Callitrichidae,Saguinus fuscicollis,Leontocebus_fuscicollis,Saguinus_fuscicollis,Brown-mantled tamarin,79,350.5,7.050652992,Q/L,343,358
Callitrichidae,Saguinus tripartitus,Leontocebus_tripartitus,Saguinus_tripartitus,Golden-mantled tamarin,80,385,7.274786349,,385,
Callitrichidae,Saguinus mystax,Saguinus_mystax,Saguinus_mystax,Moustached tamarin,74,524.5,8.064581419,Q,510,539
Callitrichidae,Saguinus labiatus,Saguinus_labiatus,Saguinus_labiatus,White-lipped tamarin,73,514.5,8.012999698,L,490,539
Callitrichidae,Saguinus imperator,Saguinus_imperator,Saguinus_imperator,Emperor tamarin,75,474.5,7.799715089,,474,475
Callitrichidae,Saguinus oedipus,Saguinus_oedipus,Saguinus_oedipus,Cottontop tamarin,74,411,7.434993742,,418,404
Callitrichidae,Saguinus geoffroyi,Saguinus_geoffroyi,Saguinus_geoffroyi,Geoffroy's tamarin,76,492,7.894446773,Q,482,502
Callitrichidae,Saguinus leucopus,Saguinus_leucopus,Saguinus_leucopus,White-footed tamarin,74,492,7.894446773,,494,490
Callitrichidae,Callimico goeldii,Callimico_goeldii,Callimico_goeldii,Goeldi's marmoset,69,483.5,7.84871982,L,499,468
Cebidae,Cebus capucinus,Cebus_capucinus,Cebus_capucinus,Colombian white-faced capuchin,81,3110,14.59665902,Q,3680,2540
Cebidae,Cebus albifrons,Cebus_albifrons,Cebus_albifrons,Humboldt's white-fronted capuchin,80,2735,13.98467711,,3180,2290
Cebidae,Cebus olivaceus,Cebus_olivaceus,Cebus_olivaceus,Wedge-capped capuchin,83,2905,14.26862242,Q,3290,2520
Cebidae,Sapajus apella,Sapajus_apella,Sapajus_apella,Tufted capuchin,81,3085,14.55744159,Q,3650,2520
Cebidae,Sapajus nigritus ,Sapajus_nigritus,Sapajus_nigritus,Black capuchin,82,2731,13.97785615,,3247,2215
Cebidae,Sapajus libidinosus,Sapajus_libidinosus,Sapajus_libidinosus,Black-striped capuchin,80,2510,13.59016013,,2910,2110
Cebidae,Sapajus xanthosternos,Sapajus_xanthosternos,Sapajus_xanthosternos,Golden-bellied capuchin,77,2440.5,13.46355051,,2714,2167
