"","model","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","model_mass_veg",0.0272315537178948,0.0271207348017085,0.0491592648378752,245.730193500087,1.21487008635482e-54,1,13994.1375434878,-27982.2750869757,-27961.0343919158,21.2132072776963,8778,8780
"2","model_imi_veg",0.0163111353772314,0.0161990723942486,0.0494344287169229,145.553285688809,2.97674645855441e-33,1,13945.1294367097,-27884.2588734194,-27863.0181783595,21.4513493542666,8778,8780
"3","model_mass_temp",0.0297168540209101,0.0296066947173247,9.41507257257314,269.762544367453,9.82499680045485e-60,1,-32254.6159410487,64515.2318820973,64536.4828102541,780772.754344381,8808,8810
"4","model_imi_temp",0.0176622696694128,0.0175507417708738,9.47337743507302,158.366380975547,5.24734531545709e-36,1,-32309.0055251474,64624.0110502948,64645.2619784516,790472.903280904,8808,8810
"5","model_mass_min_temp",0.118961531279372,0.118861504205266,15.086768828914,1189.29332226578,1.40875383379789e-244,1,-36408.5860294492,72823.1720588984,72844.4229870551,2004794.10928397,8808,8810
"6","model_imi_min_temp",0.112616197843862,0.112515450364053,15.1409996227573,1117.80659980337,7.69722464287018e-231,1,-36440.1976124959,72886.3952249917,72907.6461531485,2019232.85122837,8808,8810
"7","model_mass_precip",0.0359537916642451,0.0358443404598472,471.522685907376,328.491512378189,4.14228550307865e-72,1,-66733.9195303409,133473.839060682,133495.089988839,1958314730.40929,8808,8810
"8","model_imi_precip",0.00576922834091873,0.00565635018791466,478.847547216309,51.1102298131611,9.42857504702317e-13,1,-66869.7261954506,133745.452390901,133766.703319058,2019630126.36846,8808,8810
"9","model_mass_wet_precip",0.213086702631461,0.212997361884711,50.4388551040567,2385.10098006249,0,1,-47041.7599335801,94089.5198671601,94110.7707953169,22408239.9418643,8808,8810
"10","model_imi_wet_precip",0.203882350609295,0.203791964863452,50.7329836208935,2255.69141136496,0,1,-47092.9852462052,94191.9704924104,94213.2214205671,22670344.2033017,8808,8810
