"","V1"
"1","Abditomys latidens"
"2","Abeomelomys sevia"
"3","Abrawayaomys chebezi"
"4","Abrawayaomys ruschii"
"5","Abrocoma bennettii"
"6","Abrocoma boliviensis"
"7","Abrocoma budini"
"8","Abrocoma cinerea"
"9","Abrocoma famatina"
"10","Abrocoma shistacea"
"11","Abrocoma uspallata"
"12","Abrocoma vaccarum"
"13","Abrothrix andinus"
"14","Abrothrix illutea"
"15","Abrothrix jelskii"
"16","Abrothrix lanosus"
"17","Abrothrix longipilis"
"18","Abrothrix olivaceus"
"19","Abrothrix sanborni"
"20","Acerodon celebensis"
"21","Acerodon humilis"
"22","Acerodon jubatus"
"23","Acerodon leucotis"
"24","Acerodon mackloti"
"25","Acinonyx jubatus"
"26","Acomys airensis"
"27","Acomys cahirinus"
"28","Acomys cilicicus"
"29","Acomys cineraceus"
"30","Acomys dimidiatus"
"31","Acomys ignitus"
"32","Acomys johannis"
"33","Acomys kempi"
"34","Acomys louisae"
"35","Acomys minous"
"36","Acomys mullah"
"37","Acomys muzei"
"38","Acomys nesiotes"
"39","Acomys ngurui"
"40","Acomys percivali"
"41","Acomys russatus"
"42","Acomys selousi"
"43","Acomys seurati"
"44","Acomys spinosissimus"
"45","Acomys subspinosus"
"46","Acomys wilsoni"
"47","Aconaemys fuscus"
"48","Aconaemys porteri"
"49","Aconaemys sagei"
"50","Acrobates pygmaeus"
"51","Addax nasomaculatus"
"52","Aegialomys galapagoensis"
"53","Aegialomys xanthaeolus"
"54","Aepeomys lugens"
"55","Aepeomys reigi"
"56","Aepyceros melampus"
"57","Aepyprymnus rufescens"
"58","Aeretes melanopterus"
"59","Aeromys tephromelas"
"60","Aeromys thomasi"
"61","Aethalops aequalis"
"62","Aethalops alecto"
"63","Aethomys bocagei"
"64","Aethomys chrysophilus"
"65","Aethomys hindei"
"66","Aethomys ineptus"
"67","Aethomys kaiseri"
"68","Aethomys nyikae"
"69","Aethomys silindensis"
"70","Aethomys stannarius"
"71","Aethomys thomasi"
"72","Ailuropoda melanoleuca"
"73","Ailurops melanotis"
"74","Ailurops ursinus"
"75","Ailurus fulgens"
"76","Akodon aerosus"
"77","Akodon affinis"
"78","Akodon albiventer"
"79","Akodon azarae"
"80","Akodon boliviensis"
"81","Akodon budini"
"82","Akodon caenosus"
"83","Akodon cursor"
"84","Akodon dayi"
"85","Akodon dolores"
"86","Akodon fumeus"
"87","Akodon iniscatus"
"88","Akodon juninensis"
"89","Akodon kofordi"
"90","Akodon lindberghi"
"91","Akodon lutescens"
"92","Akodon mimus"
"93","Akodon molinae"
"94","Akodon mollis"
"95","Akodon montensis"
"96","Akodon mystax"
"97","Akodon orophilus"
"98","Akodon paranaensis"
"99","Akodon pervalens"
"100","Akodon philipmyersi"
"101","Akodon polopi"
"102","Akodon reigi"
"103","Akodon sanctipaulensis"
"104","Akodon serrensis"
"105","Akodon siberiae"
"106","Akodon simulator"
"107","Akodon spegazzinii"
"108","Akodon subfuscus"
"109","Akodon surdus"
"110","Akodon sylvanus"
"111","Akodon toba"
"112","Akodon torques"
"113","Akodon varius"
"114","Alcelaphus buselaphus"
"115","Alces alces"
"116","Alionycteris paucidentata"
"117","Allactaga balikunica"
"118","Allactaga bullata"
"119","Allactaga elater"
"120","Allactaga euphratica"
"121","Allactaga firouzi"
"122","Allactaga hotsoni"
"123","Allactaga major"
"124","Allactaga severtzovi"
"125","Allactaga sibirica"
"126","Allactaga tetradactyla"
"127","Allactaga vinogradovi"
"128","Allactaga williamsi"
"129","Allactodipus bobrinskii"
"130","Allenopithecus nigroviridis"
"131","Allocebus trichotis"
"132","Allochrocebus lhoesti"
"133","Allochrocebus preussi"
"134","Allochrocebus solatus"
"135","Allocricetulus curtatus"
"136","Allocricetulus eversmanni"
"137","Alouatta arctoidea"
"138","Alouatta belzebul"
"139","Alouatta caraya"
"140","Alouatta discolor"
"141","Alouatta guariba"
"142","Alouatta macconnelli"
"143","Alouatta nigerrima"
"144","Alouatta palliata"
"145","Alouatta pigra"
"146","Alouatta sara"
"147","Alouatta seniculus ssp. juara"
"148","Alouatta seniculus ssp. puruensis"
"149","Alouatta ululata"
"150","Alticola albicaudus"
"151","Alticola argentatus"
"152","Alticola barakshin"
"153","Alticola lemminus"
"154","Alticola macrotis"
"155","Alticola montosa"
"156","Alticola olchonensis"
"157","Alticola roylei"
"158","Alticola semicanus"
"159","Alticola stoliczkanus"
"160","Alticola strelzowi"
"161","Alticola tuvinicus"
"162","Amblysomus corriae"
"163","Amblysomus hottentotus"
"164","Amblysomus marleyi"
"165","Amblysomus robustus"
"166","Amblysomus septentrionalis"
"167","Ametrida centurio"
